"hdic_resblock_id","rent_type","n","mean_price"
1111027373683,1,2,94.68292682927
1111027373685,0,3,89.6885374439033
1111027373685,1,5,94.005111751588
1111027373685,2,6,258.177591128678
1111027373686,0,2,101.20942860669
1111027373686,1,18,104.727515398708
1111027373686,2,8,232.86763128176
1111027373689,0,1,146.51162790698
1111027373690,1,8,96.7660634015762
1111027373690,2,2,177.97619047619
1111027373691,1,17,96.3045942651194
1111027373691,2,10,205.182799145299
1111027373694,0,1,130.76923076923
1111027373694,1,5,129.228776620034
1111027373695,1,2,116.870283866335
1111027373696,1,3,64.7393662319033
1111027373697,0,3,91.7874396135233
1111027373697,1,10,101.244945414063
1111027373697,2,3,249.639249639247
1111027373705,0,2,125
1111027373705,1,16,125.867086968113
1111027373707,1,1,76.66666666667
1111027373708,0,2,81.524725274725
1111027373708,1,5,73.615149230954
1111027373709,1,2,98.75498449269
1111027373709,2,3,237.186447811447
1111027373711,1,2,130.95859330686
1111027373713,0,2,92.63925729443
1111027373713,1,3,77.9220779220767
1111027373716,1,7,90.58966473044
1111027373722,0,2,98.45872518286
1111027373722,1,1,96.49122807018
1111027373734,1,4,99.847842090905
1111027373735,0,1,66.66666666667
1111027373735,1,4,69.9275362318825
1111027373737,1,1,93.44262295082
1111027373737,2,3,258.655303030303
1111027373738,1,9,111.521330018406
1111027373739,0,1,91.83673469388
1111027373739,1,4,78.7206139631525
1111027373740,1,13,99.39199749033
1111027373740,2,14,282.210925279202
1111027373741,1,3,70.7647058823533
1111027373741,2,2,183.59090909091
1111027373742,1,1,64.70588235294
1111027373742,2,3,197.625
1111027373743,0,1,110
1111027373743,1,6,93.4507805800267
1111027373743,2,8,313.061579272177
1111027373745,0,1,81.03448275862
1111027373750,1,3,159.44696969697
1111027373750,2,2,272.60606060606
1111027373753,1,2,91.66136162688
1111027373756,0,2,55.516431924885
1111027373756,1,5,74.8131377551
1111027373759,0,1,211.11111111111
1111027373759,1,1,132.07547169811
1111027373762,1,2,125.66691505216
1111027373764,1,1,142.25
1111027373766,2,1,224.375
1111027373767,0,3,76.60049985581
1111027373767,2,3,210.41005291005
1111027373768,1,2,112.56482861401
1111027373770,1,1,119.4
1111027373770,2,4,234.96875
1111027373771,0,3,66.0805860805867
1111027373771,1,3,82.2676141163533
1111027373771,2,6,258.809523809523
1111027373774,0,3,72.2463768115933
1111027373774,1,8,78.1544017277375
1111027373775,1,2,40.89814814815
1111027373775,2,16,132.491481005408
1111027373776,2,3,166.333333333333
1111027373777,0,1,49.29577464789
1111027373777,1,2,45.050360691435
1111027373777,2,2,177.69230769231
1111027373783,1,1,133.33333333333
1111027373786,1,2,113.667582417585
1111027373789,0,2,58.181818181815
1111027373789,1,2,56.12554112554
1111027373790,0,1,83.67346938776
1111027373790,1,3,85.1944444444433
1111027373797,1,3,129.603695544663
1111027373798,0,3,128.93691008445
1111027373798,1,18,133.663342329071
1111027373798,2,12,305.608755827506
1111027373802,0,6,61.5821683320383
1111027373802,1,6,74.2985254678267
1111027373802,2,2,207.5
1111027373804,2,4,169.13190730838
1111027373805,0,1,59.59595959596
1111027373806,0,1,86.84210526316
1111027373806,1,2,84.61455641688
1111027373808,0,2,64.64048044149
1111027373808,1,3,96.0697637292467
1111027373808,2,2,153.97619047619
1111027373812,1,2,87.39629302736
1111027373812,2,4,315.875
1111027373813,1,2,76.304992021885
1111027373813,2,6,251.561815635345
1111027373814,1,1,70.9219858156
1111027373816,1,1,63.63636363636
1111027373829,1,2,133.698830409355
1111027373834,1,1,47.87234042553
1111027373836,1,1,62.85714285714
1111027373837,1,4,73.908106345985
1111027373837,2,3,168.122807017543
1111027373844,0,1,112.85714285714
1111027373846,0,3,78.1018027571567
1111027373846,1,4,83.0515688757575
1111027373848,1,1,112.24489795918
1111027373850,0,1,137.5
1111027373850,1,2,156.348925256475
1111027373852,1,2,146.44599303136
1111027373852,2,3,360.705128205127
1111027373855,1,1,90.16393442623
1111027373856,0,1,123.1884057971
1111027373864,1,1,158.37837837838
1111027373864,2,1,336.66666666667
1111027373865,0,1,106.25
1111027373865,1,1,143.68421052632
1111027373874,1,2,123.790322580645
1111027373875,0,2,98.663324979115
1111027373875,1,2,102.23880597015
1111027373875,2,1,260
1111027373878,0,1,46.2962962963
1111027373880,1,1,48.38709677419
1111027373881,0,2,111.640430820215
1111027373881,1,3,112.648763853367
1111027373882,1,1,137.03703703704
1111027373885,1,1,73.52941176471
1111027373887,1,1,74.07407407407
1111027373890,1,2,125.64263322884
1111027373893,1,2,117.25897255454
1111027373895,0,1,280
1111027373895,1,1,260
1111027373900,1,2,139.26218256692
1111027373903,2,3,450.222222222223
1111027373905,1,1,103.33333333333
1111027373906,1,6,95.02065119634
1111027373906,2,7,239.667667066827
1111027373907,0,2,99.7504857799
1111027373907,1,6,114.56602071007
1111027373907,2,2,352.227272727275
1111027373908,2,5,207.104579630896
1111027373913,0,1,107.14285714286
1111027373913,1,3,105.203153460837
1111027373913,2,14,290.182436611008
1111027373915,0,1,115.90909090909
1111027373915,1,4,112.935946782697
1111027373915,2,5,242.36212121212
1111027373920,1,3,118.275862068967
1111027373922,0,1,144.11764705882
